mode,cf,process_time,0.05563950538635254,matrix_w,[[-0.0007810548157841447|-0.003874074285605592|0.009785383537091387|-0.0015647558670544887]|[0.006893275044470414|0.008458151019753661|-0.006352148147815996|-0.009198495973883454]|[-0.004641869140859908|0.004743987857377149|0.0032926993349335913|-0.008067088932599758]|[-0.0006707754752360694|0.012631400178631921|-0.0032932161319806147|-0.004589747030536406]],
mode,cf,process_time,0.06424117088317871,matrix_w,[[-0.0007810548157839688|-0.0038740742856052607|0.009785383537091191|-0.0015647558670547458]|[0.006893275044470685|0.008458151019753309|-0.00635214814781635|-0.009198495973882921]|[-0.004641869140859562|0.004743987857378099|0.0032926993349331386|-0.008067088932600441]|[-0.0006707754752357702|0.012631400178631918|-0.0032932161319809495|-0.004589747030536226]],
mode,cf,process_time,0.0051326751708984375,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.11501860618591309,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.15234947204589844,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.1447761058807373,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.20209002494812012,matrix_w,[[0.006951727285883588|-0.0018359067866669837|-0.004483037418276947|-0.005012450112705489]|[0.0010551031553693848|0.0010876277085280558|-0.007993268605730188|0.0022178801561838937]|[-0.009991399578547966|0.004594785777307606|0.007766034403359196|-0.001858599719201972]|[0.0035705548414092614|0.008493661018556488|-0.005486659242250037|-0.0009212641293362271]],
mode,cf,process_time,0.1519913673400879,matrix_w,[[-0.013074728446077159|0.011079762613077726|-0.01251763889484469|0.014473638337796085]|[0.0037503049610164044|0.004051482560529313|-0.006040075084978292|-0.002450871576829437]|[-0.0031023236015897894|0.005387899773817662|-0.008263127495958518|0.009457339307417883]|[-0.001980045016725636|-0.006199079594857881|-0.0016764416482990263|0.0025892051557744535]],
mode,cf,process_time,0.19532179832458496,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.12805962562561035,matrix_w,[[0.006951727285871377|-0.0018359067866645694|-0.004483037418266786|-0.005012450112707198]|[0.0010551031553593503|0.0010876277085186687|-0.007993268605718687|0.0022178801561843872]|[-0.009991399578547392|0.004594785777330173|0.007766034403354526|-0.001858599719199781]|[0.0035705548414377815|0.008493661018546003|-0.005486659242281798|-0.0009212641293301634]],
mode,cf,process_time,0.04355311393737793,matrix_w,[[-0.0007810548157841235|-0.0038740742856055365|0.009785383537091361|-0.0015647558670545203]|[0.006893275044470456|0.008458151019753685|-0.006352148147816065|-0.009198495973883405]|[-0.00464186914085985|0.004743987857377203|0.0032926993349335467|-0.008067088932599829]|[-0.0006707754752361024|0.012631400178631897|-0.0032932161319806103|-0.004589747030536374]],
mode,cf,process_time,0.14641618728637695,matrix_w,[[0.006951727285883588|-0.0018359067866669837|-0.004483037418276947|-0.005012450112705489]|[0.0010551031553693848|0.0010876277085280558|-0.007993268605730188|0.0022178801561838937]|[-0.009991399578547966|0.004594785777307606|0.007766034403359196|-0.001858599719201972]|[0.0035705548414092614|0.008493661018556488|-0.005486659242250037|-0.0009212641293362271]],
